Target,RASexa,RA,DecSexa,Dec,Label,Vmag,verr,note,bminusv,bminusverr
000-BBR-364,10:19:58.43,154.99345398,19:50:28.1,19.84113884,26,2.610,0.100,22,1.150,0.173   
000-BBR-361,10:19:44.30,154.93458557,19:28:17.1,19.47141647,48,4.790,0.100,22,0.450,0.173   
000-BBR-383,10:20:47.84,155.19932556,19:32:20.6,19.53905487,80,8.048,0.013,17,0.336,0.041   
000-BBR-316,10:17:45.68,154.44033813,20:00:12.3,20.00341606,81,8.055,0.033,1,1.565,0.064   
000-BBR-331,10:18:12.54,154.55224609,19:43:03.5,19.71763992,98,9.799,0.015,17,0.612,0.072   
000-BBR-365,10:20:05.43,155.02262878,19:25:03.2,19.41755676,102,10.241,0.062,16,0.330,0.119   
000-BNZ-259,10:19:36.34,154.90141296,19:53:41.8,19.89494514,104,10.409,0.127,29,1.205,0.343   
000-BNZ-258,10:19:10.10,154.79208374,19:46:05.3,19.76813889,118,11.849,0.036,29,0.423,0.222   
000-BBR-357,10:19:33.24,154.88850403,19:55:43.2,19.92866707,121,12.132,0.030,29,0.800,0.313   
000-BNZ-257,10:19:42.03,154.92512512,19:59:56.9,19.99913979,122,12.232,0.033,29,0.539,0.229   
