radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
154.388481,0.498,19.914321,0.491,16.91,0.134,1,18.362,0.29,1,NA,NA,0,17.624,0.124,4,16.846,0.158,4,16.481,0.104,2,NA,NA,0,NA,NA,0
154.396414,0.488,19.79792,0.466,16.705,0.111,1,18.138,0.232,1,NA,NA,0,17.699,0.241,4,16.309,0.076,4,15.104,0.062,4,NA,NA,0,NA,NA,0
154.400546,0.387,19.796576,0.373,16.857,0.067,2,17.639,0.248,2,NA,NA,0,17.28,0.189,4,16.517,0.056,4,16.051,0.047,4,NA,NA,0,NA,NA,0
154.403382,0.34,19.898415,0.361,16.002,0.082,5,16.849,0.131,5,NA,NA,0,16.377,0.133,4,15.768,0.046,4,15.482,0.127,4,NA,NA,0,NA,NA,0
154.405686,0.461,19.800032,0.344,15.925,0.029,4,16.954,0.165,4,NA,NA,0,16.414,0.174,5,15.498,0.05,5,15.251,0.115,5,NA,NA,0,NA,NA,0
154.406421,0.421,19.833395,0.341,15.125,0.032,5,15.778,0.105,5,NA,NA,0,15.407,0.109,5,14.979,0.05,5,14.829,0.087,5,NA,NA,0,NA,NA,0
154.407559,0.382,19.849905,0.22,15.109,0.027,5,15.617,0.087,5,NA,NA,0,15.343,0.115,5,14.993,0.09,5,14.818,0.053,5,NA,NA,0,NA,NA,0
154.412971,0.497,19.917475,0.593,NA,NA,0,NA,NA,0,NA,NA,0,17.986,0.213,4,16.611,0.066,4,15.969,0.093,4,NA,NA,0,NA,NA,0
154.428113,0.364,20.038113,0.489,13.737,0.018,3,14.824,0.146,3,NA,NA,0,14.268,0.134,3,13.302,0.01,3,12.94,0.04,3,12.647,0.094,3,NA,NA,0
154.432499,0.212,20.062335,0.261,NA,NA,0,NA,NA,0,NA,NA,0,17.833,0.116,1,17.12,0.147,1,NA,NA,0,NA,NA,0,NA,NA,0
154.43383,0.535,19.699325,0.155,16.391,0.047,3,17.688,0.112,3,NA,NA,0,17.04,0.159,3,15.777,0.001,3,15.208,0.092,3,NA,NA,0,NA,NA,0
154.43835,0.498,19.699673,0.221,NA,NA,0,NA,NA,0,NA,NA,0,17.934,0.194,2,16.542,0.017,2,15.604,0.114,2,NA,NA,0,NA,NA,0
154.440244,0.348,20.003465,0.15,7.9,0.2,3,9.543,0.133,3,NA,NA,0,8.815,0.138,3,7.513,0.011,3,6.769,0.063,3,6.381,0.123,3,NA,NA,0
154.441957,0.563,19.934615,0.255,16.604,0.039,3,17.096,0.151,3,NA,NA,0,16.861,0.155,3,16.483,0.037,3,16.601,0.263,1,NA,NA,0,NA,NA,0
154.44213,0.319,19.844877,0.442,NA,NA,0,NA,NA,0,NA,NA,0,17.862,0.235,3,16.597,0.097,3,16.248,0.058,3,NA,NA,0,NA,NA,0
154.450793,0.399,20.039753,0.407,17.277,0.091,2,17.927,0.078,2,NA,NA,0,17.618,0.132,3,17.369,0.152,3,NA,NA,0,NA,NA,0,NA,NA,0
154.459635,0.957,19.847536,0.181,NA,NA,0,NA,NA,0,NA,NA,0,18.11,0.003,2,16.659,0.023,2,15.655,0.122,2,NA,NA,0,NA,NA,0
154.462705,0.649,20.021073,0.349,16.518,0.005,2,17.46,0.136,2,NA,NA,0,16.965,0.056,1,NA,NA,0,15.691,0.122,1,NA,NA,0,NA,NA,0
154.477277,0.098,19.799226,0.066,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,16.895,0.12,1,16.137,0.168,1,NA,NA,0,NA,NA,0
154.483372,0.282,19.816273,0.241,16.564,0.046,2,17.537,0.072,2,NA,NA,0,16.936,0.017,2,16.219,0.064,2,15.935,0.024,2,NA,NA,0,NA,NA,0
154.486595,0.365,19.838634,0.272,16.683,0.062,2,17.5,0.049,2,NA,NA,0,16.986,0.084,2,16.467,0.026,2,16.211,0.052,2,NA,NA,0,NA,NA,0
154.487656,0.637,20.06677,0.547,17.057,0.023,2,17.663,0.245,2,NA,NA,0,17.237,0.095,2,16.782,0.001,2,16.49,0.215,1,NA,NA,0,NA,NA,0
154.487898,0.738,19.965659,0.415,14.957,0.016,3,15.619,0.432,3,NA,NA,0,15.425,0.022,2,14.638,0.015,2,14.38,0.004,2,NA,NA,0,NA,NA,0
154.494782,0.289,19.656355,0.264,15.942,0.005,2,17.324,0.181,2,NA,NA,0,16.736,0.016,2,15.308,0.01,2,13.838,0.003,2,NA,NA,0,NA,NA,0
