_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.441821500	+44.182727800	671-114894	341.4418215	+44.1827278	58	15.110	0	0	-3.1	-5.7	13.790	13.422	15.883	15.089	14.985	14.658	0	0	0	0	0	0	0	1	0
341.450008600	+44.168891400	671-114898	341.4500086	+44.1688914	52	15.130	0	0	-6.0	-0.3	13.629	13.200	15.922	15.184	14.856	14.771	0	0	0	0	0	0	0	1	0
341.458839500	+44.187620900	671-114904	341.4588395	+44.1876209	44	14.801	0	0	4.5	-5.5	13.541	13.064	15.993	15.092	14.794	14.586	0	0	0	0	0	0	0	3	0
341.475722400	+44.160213900	671-114910	341.4757224	+44.1602139	32	14.034	0	0	7.9	4.8	12.741	12.384	14.825	14.128	13.918	13.736	0	0	0	0	1	0	0	1	0
341.500493000	+44.182028700	671-114927	341.5004930	+44.1820287	51	15.398	0	0	2.0	-4.4	13.679	13.165	16.468	15.396	14.986	14.759	0	0	0	0	0	0	0	1	0
341.504150000	+44.170093100	671-114932	341.5041500	+44.1700931	63	15.906	0	0	2.9	-2.4	14.485	14.024	16.523	15.944	15.753		0	0	0	0	0	0	0	1	0
341.520691500	+44.137007000	671-114940	341.5206915	+44.1370070	83	16.236	0	0	8.7	5.4	14.652	13.987	17.323	16.364	16.136		0	0	0	0	0	0	0	1	0
341.558793900	+44.119980300	671-114963	341.5587939	+44.1199803	56	15.381	0	0	0.6	1.3	14.092	13.641	15.948	15.272	15.081	14.968	0	0	0	0	0	0	0	1	0
341.574080600	+44.123365900	671-114970	341.5740806	+44.1233659	55	14.972	0	0	0.0	-11.6	13.557	13.062	15.840	15.031	14.795	14.503	0	0	0	0	0	0	0	1	0
341.583525900	+44.181746700	671-114975	341.5835259	+44.1817467	29	12.511	0	0	-8.0	-3.8	9.587	8.480	14.727	12.945	12.292	11.481	0	0	0	0	1	0	0	1	0
341.583635300	+44.120765900	671-114976	341.5836353	+44.1207659	92	16.075	0	0	4.3	-17.8	14.280	13.713	17.114	16.048	15.473	14.921	0	0	0	0	0	0	0	1	0
341.586140300	+44.175514500	671-114978	341.5861403	+44.1755145	93	15.490	0	0	-6.3	-11.6	13.919	13.485	16.510	15.683	15.375		0	0	0	0	0	0	0	1	0
341.606037400	+44.147221200	671-114990	341.6060374	+44.1472212	72	15.942	0	0	5.9	-4.7	14.481	14.008	16.769	16.064	15.720		0	0	0	0	0	0	0	1	0
341.609532400	+44.169572800	671-114992	341.6095324	+44.1695728	98	15.928	0	0	-5.2	-11.2	14.046	13.550	16.631	15.764	15.506	15.224	0	0	0	0	0	0	0	1	0
341.611981200	+44.195105900	671-114993	341.6119812	+44.1951059	24	13.872	0	34	4.6	-4.8	12.474	12.068	14.578	13.918	13.709	13.498	0	0	0	0	2	0	0	2	0
341.628794500	+44.149875300	671-114994	341.6287945	+44.1498753	52	14.957	0	0	-6.7	-1.9	13.509	13.104	15.565	14.943	14.671	14.422	0	0	0	0	0	0	0	1	0
341.631848300	+44.139430600	671-114998	341.6318483	+44.1394306	101	15.647	0	0	9.2	11.2	14.108	13.700	16.291	15.554			0	0	0	0	0	0	0	1	0
341.635729500	+44.194109200	671-115003	341.6357295	+44.1941092	27	12.349	0	0	-0.4	-35.3	10.780	10.198	13.528	12.537	12.198	11.892	0	0	0	0	1	0	0	1	0
341.660792400	+44.169290300	671-115020	341.6607924	+44.1692903	22	11.934	0	0	-12.1	-9.1	9.646	8.748	13.690	12.266	11.763	11.218	0	0	0	0	1	0	0	1	0
341.660999800	+44.093363900	671-115021	341.6609998	+44.0933639	197	14.294	5	0			12.533	11.802	15.685	14.519		13.607	0	0	0	0	0	0	0	0	0
341.678612700	+44.107944200	671-115028	341.6786127	+44.1079442	64	15.729	0	0	9.4	4.6	13.644	12.986	16.624	15.741			0	0	0	0	0	0	0	1	0
341.690761800	+44.134000300	671-115033	341.6907618	+44.1340003	28	14.343	0	0	3.4	-9.0	12.473	11.838	15.667	14.511	14.116	13.750	0	0	0	0	1	0	0	1	0
341.716015300	+44.142086400	671-115044	341.7160153	+44.1420864	43	14.370	0	0	-6.5	0.4	12.434	11.748	16.039	14.780	14.295	13.902	0	0	0	0	0	0	0	1	0
341.718671500	+44.129952800	671-115045	341.7186715	+44.1299528	51	15.306	0	0	5.9	2.3	13.708	13.319	16.150	15.334	15.034	14.747	0	0	0	0	0	0	0	1	0
341.723927400	+44.192003400	671-115048	341.7239274	+44.1920034	69	15.127	0	0	2.1	-4.8	13.519	13.003	16.164	15.323	14.921	14.653	0	0	0	0	0	0	0	1	0
341.730871200	+44.092953900	671-115051	341.7308712	+44.0929539	73	16.021	0	0	-7.0	-7.7	14.332	13.811	16.952	15.938	15.786	15.490	0	0	0	0	0	0	0	1	0
341.731744800	+44.145017000	671-115052	341.7317448	+44.1450170	117	15.642	0	0	-6.7	-1.9	14.421	14.038	16.750	15.885	15.590		0	0	0	0	0	0	0	3	0
341.733937400	+44.180309200	671-115054	341.7339374	+44.1803092	55	14.931	0	0	-0.7	26.3	13.219	12.623	16.039	14.948	14.566	14.163	0	0	0	0	0	0	0	1	0
341.734117400	+44.178436400	671-115055	341.7341174	+44.1784364	302	16.413	0	0	61.2	59.2	14.639	14.031	16.039	14.948	14.566	14.163	0	0	0	0	0	0	0	5	0
